lambda,order,outbound_steps,inbound_steps,total_steps,total_density
0.3,5,57,18,75,27
0.3,6,11,11,22,54
0.3,7,78,30,108,22
0.3,8,53,11,64,36
0.3,9,73,4,77,15
0.3,10,5,5,10,46
0.3,11,22,18,40,56
0.3,12,31,6,37,53
0.3,13,59,20,79,31
0.3,14,15,15,30,28
0.3,15,97,13,110,36
0.3,16,24,12,36,48
0.3,17,49,13,62,10
0.3,18,4,4,8,20
0.3,19,19,7,26,51
0.3,20,31,22,53,62
0.3,21,38,3,41,33
0.3,22,33,4,37,39
0.3,23,32,18,50,47
0.3,24,20,4,24,11
0.3,25,18,18,36,41
0.3,26,0,0,0,0
0.3,27,18,18,36,24
0.3,28,39,5,44,49
0.3,29,67,11,78,10
0.3,30,80,11,91,53
0.3,31,49,14,63,53
0.3,32,54,14,68,22
0.3,33,72,14,86,30
0.3,34,24,24,48,12
0.3,35,24,11,35,21
0.3,36,15,15,30,8
0.3,37,93,6,99,31
0.3,38,87,11,98,34
0.3,39,7,7,14,30
0.3,40,39,23,62,42
0.3,41,70,6,76,54
0.3,42,45,7,52,28
0.3,43,35,4,39,36
0.3,44,5,5,10,12
0.3,45,93,6,99,23
0.3,46,93,9,102,46
0.3,47,3,3,6,18
0.3,48,21,21,42,16
0.3,49,39,19,58,41
------------------------
0.4,0,19,5,24,14
0.4,1,69,10,79,10
0.4,2,38,9,47,42
0.4,3,47,17,64,56
0.4,4,22,8,30,39
0.4,5,57,18,75,27
0.4,6,11,11,22,54
0.4,7,78,21,99,25
0.4,8,41,11,52,40
0.4,9,39,4,43,26
0.4,10,5,5,10,46
0.4,11,22,18,40,56
0.4,12,31,6,37,53
0.4,13,59,20,79,31
0.4,14,15,15,30,28
0.4,15,33,18,51,55
0.4,16,21,12,33,49
0.4,17,28,13,41,18
0.4,18,4,4,8,20
0.4,19,19,7,26,51
0.4,20,28,22,50,63
0.4,21,22,3,25,38
0.4,22,33,4,37,39
0.4,23,32,18,50,47
0.4,24,20,4,24,11
0.4,25,18,18,36,41
0.4,26,40,14,54,44
0.4,27,18,18,36,24
0.4,28,39,5,44,49
0.4,29,67,11,78,10
0.4,30,80,11,91,53
0.4,31,49,14,63,53
0.4,32,54,14,68,22
0.4,33,72,14,86,30
0.4,34,24,24,48,12
0.4,35,24,11,35,21
0.4,36,15,15,30,8
0.4,37,93,6,99,31
0.4,38,87,11,98,34
0.4,39,7,7,14,30
0.4,40,39,11,50,46
0.4,41,70,6,76,54
0.4,42,45,7,52,28
0.4,43,35,4,39,36
0.4,44,5,5,10,12
0.4,45,93,6,99,23
0.4,46,93,9,102,46
0.4,47,3,3,6,18
0.4,48,21,21,42,16
0.4,49,39,19,58,41
------------------------
0.35,0,19,5,24,14
0.35,1,69,10,79,10
0.35,2,38,9,47,42
0.35,3,63,17,80,50
0.35,4,22,8,30,39
0.35,5,57,18,75,27
0.35,6,11,11,22,54
0.35,7,78,21,99,25
0.35,8,41,11,52,40
0.35,9,39,4,43,26
0.35,10,5,5,10,46
0.35,11,22,18,40,56
0.35,12,31,6,37,53
0.35,13,59,20,79,31
0.35,14,15,15,30,28
0.35,15,97,13,110,36
0.35,16,21,12,33,49
0.35,17,49,13,62,10
0.35,18,4,4,8,20
0.35,19,19,7,26,51
0.35,20,28,22,50,63
0.35,21,22,3,25,38
0.35,22,33,4,37,39
0.35,23,32,18,50,47
0.35,24,20,4,24,11
0.35,25,18,18,36,41
0.35,26,0,0,0,0
0.35,27,18,18,36,24
0.35,28,39,5,44,49
0.35,29,67,11,78,10
0.35,30,80,11,91,53
0.35,31,49,14,63,53
0.35,32,54,14,68,22
0.35,33,72,14,86,30
0.35,34,24,24,48,12
0.35,35,24,11,35,21
0.35,36,15,15,30,8
0.35,37,93,6,99,31
0.35,38,87,11,98,34
0.35,39,7,7,14,30
0.35,40,39,11,50,46
0.35,41,70,6,76,54
0.35,42,45,7,52,28
0.35,43,35,4,39,36
0.35,44,5,5,10,12
0.35,45,93,6,99,23
0.35,46,93,9,102,46
0.35,47,3,3,6,18
0.35,48,21,21,42,16
0.35,49,39,19,58,41
------------------------
0.36,0,19,5,24,14
0.36,1,69,10,79,10
0.36,2,38,9,47,42
0.36,3,63,17,80,50
0.36,4,22,8,30,39
0.36,5,57,18,75,27
0.36,6,11,11,22,54
0.36,7,78,21,99,25
0.36,8,41,11,52,40
0.36,9,39,4,43,26
0.36,10,5,5,10,46
0.36,11,22,18,40,56
0.36,12,31,6,37,53
0.36,13,59,20,79,31
0.36,14,15,15,30,28
0.36,15,97,13,110,36
0.36,16,21,12,33,49
0.36,17,49,13,62,10
0.36,18,4,4,8,20
0.36,19,19,7,26,51
0.36,20,28,22,50,63
0.36,21,22,3,25,38
0.36,22,33,4,37,39
0.36,23,32,18,50,47
0.36,24,20,4,24,11
0.36,25,18,18,36,41
0.36,26,0,0,0,0
0.36,27,18,18,36,24
0.36,28,39,5,44,49
0.36,29,67,11,78,10
0.36,30,80,11,91,53
0.36,31,49,14,63,53
0.36,32,54,14,68,22
0.36,33,72,14,86,30
0.36,34,24,24,48,12
0.36,35,24,11,35,21
0.36,36,15,15,30,8
0.36,37,93,6,99,31
0.36,38,87,11,98,34
0.36,39,7,7,14,30
0.36,40,39,11,50,46
0.36,41,70,6,76,54
0.36,42,45,7,52,28
0.36,43,35,4,39,36
0.36,44,5,5,10,12
0.36,45,93,6,99,23
0.36,46,93,9,102,46
0.36,47,3,3,6,18
0.36,48,21,21,42,16
0.36,49,39,19,58,41
------------------------
0.4,0,35,7,42,29
0.4,1,39,14,53,25
0.4,2,23,5,28,58
0.4,3,38,8,46,39
0.4,4,96,5,101,32
0.4,5,11,9,20,36
0.4,6,41,9,50,40
0.4,7,25,17,42,47
0.4,8,39,6,45,32
0.4,9,12,21,33,31
0.4,10,37,5,42,29
0.4,11,66,4,70,40
0.4,12,28,31,59,48
0.4,13,62,10,72,32
0.4,14,40,8,48,29
0.4,15,19,14,33,45
0.4,16,24,10,34,49
0.4,17,23,13,36,47
0.4,18,17,19,36,36
0.4,19,19,8,27,50
0.4,20,21,15,36,50
0.4,21,21,5,26,18
0.4,22,56,10,66,40
0.4,23,35,6,41,18
0.4,24,21,17,38,62
0.4,25,71,8,79,10
0.4,26,20,28,48,10
0.4,27,44,19,63,41
0.4,28,31,17,48,47
0.4,29,52,13,65,61
0.4,30,36,6,42,38
0.4,31,10,13,23,51
0.4,32,33,8,41,25
0.4,33,20,4,24,35
0.4,34,23,7,30,30
0.4,35,38,8,46,44
0.4,36,32,8,40,45
0.4,37,101,8,109,26
0.4,38,14,9,23,30
0.4,39,24,5,29,26
0.4,40,53,8,61,65
0.4,41,16,16,32,12
0.4,42,34,7,41,25
0.4,43,102,3,105,14
0.4,44,78,21,99,25
0.4,45,45,15,60,58
0.4,46,47,17,64,56
0.4,47,45,7,52,20
0.4,48,79,12,91,33
0.4,49,20,20,40,54
0.4,50,65,17,82,26
0.4,51,36,7,43,35
0.4,52,54,32,86,38
0.4,53,48,15,63,20
0.4,54,37,5,42,26
0.4,55,67,12,79,28
0.4,56,17,11,28,4
0.4,57,14,4,18,25
0.4,58,18,6,24,60
0.4,59,34,6,40,19
0.4,60,28,6,34,37
0.4,61,46,10,56,55
0.4,62,103,9,112,37
0.4,63,67,16,83,32
0.4,64,42,19,61,43
0.4,65,68,11,79,11
0.4,66,85,15,100,36
0.4,67,45,15,60,56
0.4,68,54,15,69,65
0.4,69,18,18,36,10
0.4,70,48,12,60,36
0.4,71,41,23,64,28
0.4,72,84,4,88,40
0.4,73,19,20,39,57
0.4,74,49,5,54,30
0.4,75,26,7,33,25
0.4,76,10,10,20,30
0.4,77,55,2,57,32
0.4,78,28,8,36,50
0.4,79,37,11,48,48
0.4,80,84,3,87,11
0.4,81,38,4,42,36
0.4,82,75,17,92,55
0.4,83,21,9,30,38
0.4,84,105,7,112,33
0.4,85,30,7,37,57
0.4,86,44,15,59,41
0.4,87,28,15,43,28
0.4,88,39,14,53,10
0.4,89,41,3,44,28
0.4,90,19,11,30,29
0.4,91,7,7,14,20
0.4,92,10,15,25,34
0.4,93,24,5,29,48
0.4,94,12,12,24,14
0.4,95,67,29,96,30
0.4,96,49,27,76,18
0.4,97,13,13,26,30
0.4,98,32,32,64,18
0.4,99,102,7,109,22
------------------------
0.3,0,35,7,42,29
0.3,1,39,14,53,25
0.3,2,34,5,39,54
0.3,3,38,8,46,39
0.3,4,96,5,101,32
0.3,5,11,9,20,36
0.3,6,75,9,84,29
0.3,7,43,17,60,41
0.3,8,45,6,51,30
0.3,9,12,21,33,31
0.3,10,37,5,42,29
0.3,11,66,4,70,40
0.3,12,28,31,59,48
0.3,13,62,22,84,28
0.3,14,40,8,48,29
0.3,15,19,14,33,45
0.3,16,24,10,34,49
0.3,17,23,13,36,47
0.3,18,17,19,36,36
0.3,19,30,8,38,46
0.3,20,21,15,36,50
0.3,21,21,5,26,18
0.3,22,56,10,66,40
0.3,23,35,19,54,14
0.3,24,24,17,41,61
0.3,25,71,8,79,10
0.3,26,20,28,48,10
0.3,27,44,19,63,41
0.3,28,31,17,48,47
0.3,29,52,13,65,61
0.3,30,36,6,42,38
0.3,31,10,13,23,51
0.3,32,33,8,41,25
0.3,33,20,4,24,35
0.3,34,57,7,64,19
0.3,35,38,8,46,44
0.3,36,32,8,40,45
0.3,37,101,8,109,26
0.3,38,14,9,23,30
0.3,39,55,5,60,15
0.3,40,0,0,0,0
0.3,41,16,16,32,12
0.3,42,69,7,76,14
0.3,43,102,3,105,14
0.3,44,78,21,99,25
0.3,45,63,15,78,52
0.3,46,63,20,83,49
0.3,47,45,7,52,20
0.3,48,79,12,91,33
0.3,49,23,23,46,52
0.3,50,65,17,82,26
0.3,51,39,7,46,34
0.3,52,54,32,86,38
0.3,53,48,18,66,19
0.3,54,37,5,42,26
0.3,55,67,12,79,28
0.3,56,17,11,28,4
0.3,57,14,4,18,25
0.3,58,97,6,103,33
0.3,59,34,6,40,19
0.3,60,28,6,34,37
0.3,61,46,10,56,55
0.3,62,103,9,112,37
0.3,63,67,16,83,32
0.3,64,42,19,61,43
0.3,65,68,11,79,11
0.3,66,0,0,0,0
0.3,67,45,15,60,56
0.3,68,70,15,85,59
0.3,69,18,18,36,10
0.3,70,0,0,0,0
0.3,71,41,23,64,28
0.3,72,84,4,88,40
0.3,73,19,23,42,56
0.3,74,49,5,54,30
0.3,75,26,7,33,25
0.3,76,10,10,20,30
0.3,77,55,2,57,32
0.3,78,28,29,57,42
0.3,79,37,11,48,48
0.3,80,84,3,87,11
0.3,81,38,4,42,36
0.3,82,0,0,0,0
0.3,83,21,9,30,38
0.3,84,105,7,112,33
0.3,85,30,7,37,57
0.3,86,53,18,71,37
0.3,87,28,15,43,28
0.3,88,39,29,68,4
0.3,89,75,3,78,17
0.3,90,19,11,30,29
0.3,91,7,7,14,20
0.3,92,19,15,34,31
0.3,93,24,5,29,48
0.3,94,12,12,24,14
0.3,95,67,29,96,30
0.3,96,49,27,76,18
0.3,97,13,13,26,30
0.3,98,32,32,64,18
0.3,99,102,7,109,22
------------------------
0.36,0,35,7,42,29
0.36,1,39,14,53,25
0.36,2,34,5,39,54
0.36,3,38,8,46,39
0.36,4,96,5,101,32
0.36,5,11,9,20,36
0.36,6,41,9,50,40
0.36,7,25,17,42,47
0.36,8,39,6,45,32
0.36,9,12,21,33,31
0.36,10,37,5,42,29
0.36,11,66,4,70,40
0.36,12,28,31,59,48
0.36,13,62,10,72,32
0.36,14,40,8,48,29
