lambda,order,outbound_steps,inbound_steps,total_steps,total_density
0.5,19,36,5,41,67
0.5,20,19,19,38,26
0.5,21,77,6,83,23
0.5,22,12,12,24,34
0.5,23,70,14,84,31
0.5,24,46,18,64,51
0.5,25,24,9,33,60
0.5,26,9,4,13,8
0.5,27,71,7,78,36
0.5,28,9,9,18,14
0.5,29,8,8,16,30
0.5,30,23,10,33,50
0.5,31,16,16,32,20
0.5,32,31,12,43,47
0.5,33,23,7,30,45
0.5,34,35,4,39,36
0.5,35,36,10,46,63
0.5,36,24,18,42,42
0.5,37,21,19,40,42
0.5,38,30,15,45,39
0.5,39,37,3,40,29
0.5,40,45,16,61,10
0.5,41,63,11,74,50
0.5,42,22,18,40,56
0.5,43,75,20,95,18
0.5,44,16,10,26,30
0.5,45,42,4,46,38
0.5,46,46,18,64,14
0.5,47,44,11,55,20
0.5,48,39,3,42,16
0.5,49,6,6,12,26
0.5,50,36,6,42,64
0.5,51,76,11,87,50
0.5,52,59,6,65,32
0.5,53,74,4,78,30
0.5,54,100,5,105,26
0.5,55,26,2,28,29
0.5,56,16,10,26,27
0.5,57,29,5,34,68
0.5,58,31,8,39,56
0.5,59,29,13,42,60
0.5,60,9,12,21,55
0.5,61,91,5,96,27
0.5,62,34,6,40,40
0.5,63,20,10,30,40
0.5,64,44,4,48,53
0.5,65,102,3,105,20
0.5,66,75,6,81,49
0.5,67,36,4,40,52
0.5,68,10,7,17,44
0.5,69,14,7,21,25
0.5,70,12,12,24,10
0.5,71,27,17,44,62
0.5,72,20,9,29,42
0.5,73,40,10,50,74
0.5,74,16,16,32,29
0.5,75,23,9,32,47
0.5,76,7,7,14,30
0.5,77,47,17,64,40
0.5,78,10,10,20,10
0.5,79,23,18,41,39
0.5,80,34,4,38,30
0.5,81,17,10,27,55
0.5,82,23,6,29,59
0.5,83,14,14,28,38
0.5,84,10,10,20,28
0.5,85,19,21,40,50
0.5,86,7,7,14,30
0.5,87,4,4,8,16
0.5,88,41,5,46,37
0.5,89,17,10,27,38
0.5,90,41,16,57,76
0.5,91,6,6,12,18
0.5,92,37,9,46,51
0.5,93,64,5,69,51
0.5,94,33,12,45,18
0.5,95,11,11,22,30
0.5,96,86,8,94,47
0.5,97,39,13,52,45
0.5,98,41,15,56,44
0.5,99,47,6,53,59
------------------------
0.5,0,32,13,45,48
0.5,1,28,5,33,43
0.5,2,71,5,76,14
0.5,3,101,10,111,47
0.5,4,8,11,19,58
0.5,5,26,11,37,47
0.5,6,24,24,48,42
0.5,7,26,6,32,69
0.5,8,20,18,38,38
0.5,9,14,15,29,49
0.5,10,30,5,35,43
0.5,11,12,11,23,54
0.5,12,26,7,33,37
0.5,13,31,7,38,42
0.5,14,21,21,42,6
0.5,15,47,5,52,19
0.5,16,67,13,80,32
0.5,17,48,6,54,44
0.5,18,92,14,106,45
0.5,19,4,4,8,34
0.5,20,44,2,46,54
0.5,21,62,8,70,32
0.5,22,11,11,22,30
0.5,23,20,11,31,43
0.5,24,62,3,65,19
0.5,25,3,3,6,30
0.5,26,38,4,42,39
0.5,27,44,7,51,30
0.5,28,77,19,96,43
0.5,29,100,3,103,17
0.5,30,25,5,30,56
0.5,31,65,4,69,20
0.5,32,54,10,64,39
0.5,33,23,7,30,45
0.5,34,8,8,16,24
0.5,35,24,8,32,71
0.5,36,39,4,43,39
0.5,37,12,7,19,27
0.5,38,6,6,12,20
0.5,39,17,17,34,16
0.5,40,39,3,42,18
0.5,41,30,12,42,39
0.5,42,43,5,48,29
0.5,43,24,19,43,41
0.5,44,79,6,85,38
0.5,45,56,5,61,16
0.5,46,31,16,47,28
0.5,47,12,7,19,17
0.5,48,24,7,31,61
0.5,49,56,15,71,12
0.5,50,21,11,32,44
0.5,51,73,3,76,26
0.5,52,11,11,22,38
0.5,53,48,15,63,52
0.5,54,14,6,20,13
0.5,55,27,17,44,50
0.5,56,10,10,20,44
0.5,57,22,10,32,26
0.5,58,22,12,34,29
0.5,59,0,0,0,0
0.5,60,62,17,79,25
0.5,61,29,2,31,27
0.5,62,9,9,18,26
0.5,63,25,12,37,69
0.5,64,45,13,58,54
0.5,65,40,8,48,61
0.5,66,21,11,32,54
0.5,67,32,9,41,54
0.5,68,14,3,17,30
0.5,69,21,3,24,13
0.5,70,48,16,64,22
0.5,71,9,9,18,30
0.5,72,11,11,22,50
0.5,73,27,9,36,52
0.5,74,48,5,53,56
0.5,75,65,3,68,35
0.5,76,37,6,43,53
0.5,77,6,6,12,40
0.5,78,12,12,24,34
0.5,79,2,2,4,8
0.5,80,8,11,19,58
0.5,81,15,3,18,31
0.5,82,29,8,37,38
0.5,83,0,0,0,0
0.5,84,76,6,82,45
0.5,85,51,7,58,31
0.5,86,5,5,10,28
0.5,87,12,5,17,27
0.5,88,7,7,14,42
0.5,89,23,14,37,39
0.5,90,46,23,69,29
0.5,91,104,5,109,27
0.5,92,11,11,22,50
0.5,93,33,6,39,53
0.5,94,63,2,65,26
0.5,95,75,14,89,25
0.5,96,55,2,57,20
0.5,97,36,5,41,22
0.5,98,13,2,15,39
0.5,99,43,8,51,63
------------------------
0.6,0,32,13,45,48
0.6,1,28,5,33,43
0.6,2,71,5,76,14
0.6,3,101,10,111,47
0.6,4,8,11,19,58
0.6,5,26,11,37,47
0.6,6,24,24,48,42
0.6,7,26,6,32,69
0.6,8,20,18,38,38
0.6,9,14,15,29,49
0.6,10,30,5,35,43
0.6,11,12,11,23,54
0.6,12,26,7,33,37
0.6,13,22,7,29,47
0.6,14,21,21,42,6
0.6,15,47,5,52,19
0.6,16,67,13,80,32
0.6,17,48,6,54,44
0.6,18,62,14,76,61
0.6,19,4,4,8,34
0.6,20,44,2,46,54
0.6,21,22,8,30,54
0.6,22,11,11,22,30
0.6,23,20,11,31,43
0.6,24,62,3,65,19
0.6,25,3,3,6,30
0.6,26,38,4,42,39
0.6,27,44,7,51,30
0.6,28,34,19,53,65
0.6,29,52,3,55,45
0.6,30,25,5,30,56
0.6,31,65,4,69,20
0.6,32,54,10,64,39
0.6,33,23,7,30,45
0.6,34,8,8,16,24
0.6,35,24,8,32,71
0.6,36,39,4,43,39
0.6,37,12,7,19,27
0.6,38,6,6,12,20
0.6,39,17,17,34,16
0.6,40,39,3,42,18
0.6,41,30,12,42,39
0.6,42,43,5,48,29
0.6,43,24,19,43,41
0.6,44,79,6,85,38
0.6,45,56,5,61,16
0.6,46,31,16,47,28
0.6,47,12,7,19,17
0.6,48,24,7,31,61
0.6,49,56,15,71,12
0.6,50,21,11,32,44
0.6,51,73,3,76,26
0.6,52,11,11,22,38
0.6,53,48,15,63,52
0.6,54,14,6,20,13
0.6,55,27,17,44,50
0.6,56,5,5,10,50
0.6,57,22,10,32,26
0.6,58,22,12,34,29
0.6,59,48,12,60,39
0.6,60,27,17,44,43
0.6,61,29,2,31,27
0.6,62,9,9,18,26
0.6,63,25,12,37,69
0.6,64,45,13,58,54
0.6,65,40,8,48,61
0.6,66,21,11,32,54
0.6,67,32,9,41,54
0.6,68,14,3,17,30
0.6,69,21,3,24,13
0.6,70,48,16,64,22
0.6,71,9,9,18,30
0.6,72,11,11,22,50
0.6,73,27,9,36,52
0.6,74,48,5,53,56
0.6,75,30,3,33,56
0.6,76,37,6,43,53
0.6,77,6,6,12,40
0.6,78,12,12,24,34
0.6,79,2,2,4,8
0.6,80,8,11,19,58
0.6,81,15,3,18,31
0.6,82,29,8,37,38
0.6,83,0,0,0,0
0.6,84,76,6,82,45
0.6,85,51,7,58,31
0.6,86,5,5,10,28
0.6,87,12,5,17,27
0.6,88,7,7,14,42
0.6,89,23,14,37,39
0.6,90,46,23,69,29
0.6,91,32,5,37,65
0.6,92,11,11,22,50
0.6,93,33,6,39,53
0.6,94,63,2,65,26
0.6,95,75,14,89,25
0.6,96,55,2,57,20
0.6,97,36,5,41,22
0.6,98,13,2,15,39
0.6,99,34,8,42,68
------------------------
0.2,0,64,6,70,30
0.2,1,105,6,111,56
0.2,2,31,7,38,48
0.2,3,61,22,83,19
0.2,4,61,13,74,22
------------------------
0.2,0,60,6,66,19
0.2,1,40,2,42,26
0.2,2,40,24,64,52
0.2,3,34,11,45,33
0.2,4,98,14,112,25
------------------------
